T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,overheat_flag
20.469999,18.5,19.02,20.299999,71.110001,58.919998,79.5,0.0,0.0,0
20.43,18.5,19.02,20.299999,71.32,59.0,82.0,0.0,0.0,0
20.41,18.5,19.02,20.299999,71.470001,59.109997,79.5,0.0,0.0,0
20.379999,18.5,19.08,20.299999,71.439995,59.309998,77.0,0.0,0.0,0
20.35,18.5,19.08,20.299999,71.580002,59.559998,79.5,0.0,0.0,0
20.32,18.5,19.1,20.299999,71.599998,59.66,82.0,0.0,0.0,0
20.309999,18.5,19.119999,19.299999,71.659996,59.759998,85.0,0.0,0.0,0
20.299999,18.5,19.139999,19.299999,71.709999,59.899998,88.0,0.0,0.0,0
20.27,18.5,19.16,19.299999,71.739998,60.02,85.0,0.0,0.0,0
20.26,18.5,19.16,19.299999,71.790001,60.09,82.0,0.0,0.0,0
20.225,18.5,19.199999,19.299999,71.760002,60.16,85.0,0.0,0.0,0
20.23,18.5,19.24,19.299999,71.879997,60.219997,88.0,0.0,0.0,0
20.225,18.5,19.24,19.299999,72.029999,60.349998,88.0,0.0,0.0,0
20.215,18.5,19.24,19.299999,72.290001,60.48,88.0,0.0,0.0,0
20.195,18.5,19.26,19.299999,72.470001,60.629997,91.0,0.0,0.0,0
20.195,18.5,19.279999,19.299999,72.659996,60.829998,94.0,0.0,0.0,0
20.18,18.5,19.279999,19.299999,72.809998,61.009998,94.0,0.0,0.0,0
20.17,18.5,19.299999,19.299999,73.080002,61.18,94.0,0.0,0.0,0
20.17,18.5,19.34,19.299999,73.449997,61.349998,94.0,0.0,0.0,0
20.17,18.5,19.32,19.299999,73.580002,61.57,94.0,0.0,0.0,0
20.154999,18.5,19.359999,19.299999,73.75,61.789997,94.0,0.0,0.0,0
20.135,18.5,19.379999,18.299999,73.949997,62.0,94.0,0.0,0.0,0
20.115,18.5,19.359999,18.299999,74.199997,62.279999,94.0,0.0,0.0,0
20.105,18.5,19.379999,18.299999,74.379997,62.449997,94.0,0.0,0.0,0
20.074999,18.5,19.4,18.299999,74.659996,62.639999,97.0,0.0,0.0,0
20.059999,18.5,19.42,18.299999,75.080002,62.689999,100.0,0.0,0.0,0
20.035,18.5,19.459999,17.299999,75.5,62.739998,100.0,0.0,0.0,0
20.029999,18.5,19.439999,17.299999,76.040001,63.029999,100.0,0.0,0.0,0
19.984999,18.5,19.48,16.299999,76.279999,63.299999,97.0,0.0,0.0,0
22.094999,18.5,19.0,16.299999,67.260002,54.849998,94.0,5.0,2.964,0
22.01,18.5,16.039999,16.299999,74.989998,55.25,94.0,7.0,2.988,0
21.885,18.5,15.719999,16.299999,77.0,55.899998,94.0,8.0,2.964,0
21.764999,18.5,16.08,16.299999,76.779999,56.399998,94.0,7.0,2.904,0
21.715,18.5,16.34,16.299999,76.290001,56.739998,94.0,8.0,2.988,0
21.684999,18.5,16.08,16.299999,77.009995,57.029999,97.0,7.0,2.94,0
21.664999,18.5,16.52,16.299999,76.159996,57.32,100.0,7.0,2.988,0
21.645,18.5,16.219999,16.299999,76.939995,57.529999,100.0,8.0,3.108,0
21.594999,18.5,13.62,16.299999,84.699997,57.759998,100.0,11.0,5.256,0
21.494999,18.5,13.559999,16.299999,84.009995,58.189999,100.0,13.0,5.268,0
21.455,18.5,14.12,16.299999,84.069996,58.599998,100.0,14.0,5.268,0
21.439999,18.5,15.08,16.299999,84.129997,59.619999,100.0,13.0,5.28,0
21.465,18.5,15.42,16.299999,82.209999,60.549999,100.0,13.0,5.196,0
21.484999,18.5,15.679999,16.299999,81.299995,60.639999,100.0,8.0,2.964,0
21.455,18.5,15.44,16.299999,81.589996,60.459999,100.0,8.0,2.94,0
21.434999,18.5,15.339999,16.299999,81.729996,60.369999,100.0,7.0,2.964,0
21.434999,18.5,15.339999,16.299999,82.089996,60.599998,100.0,8.0,2.976,0
21.434999,18.5,15.36,16.299999,82.459999,60.73,100.0,7.0,2.964,0
21.434999,18.5,15.42,16.299999,82.529999,60.84,100.0,8.0,2.964,0
21.404999,18.5,15.5,16.299999,82.459999,60.989998,100.0,7.0,2.976,0
21.434999,18.5,15.599999,16.299999,81.839996,61.23,100.0,7.0,2.952,0
21.475,18.5,15.48,16.299999,82.759995,61.449997,94.0,8.0,2.904,0
21.504999,18.5,15.559999,16.299999,82.82,61.48,88.0,8.0,2.952,0
21.525,18.5,15.58,16.299999,83.099998,61.66,88.0,7.0,2.964,0
21.57,18.5,15.639999,16.299999,82.970001,61.609997,88.0,7.0,2.976,0
21.615,18.5,15.639999,16.299999,83.18,61.709999,91.0,7.0,2.976,0
21.645,18.5,15.7,16.299999,83.019997,61.859997,94.0,9.0,2.976,0
21.664999,18.5,15.679999,16.299999,83.129997,61.869999,91.0,7.0,2.976,0
21.6449995,18.5,15.66,16.299999,83.229996,61.919998,88.0,7.0,2.976,0
21.625,18.5,15.679999,16.299999,83.080002,61.98,91.0,7.0,2.976,0
21.615,18.5,15.719999,16.299999,82.989998,62.039997,94.0,7.0,2.94,0
21.584999,18.5,15.74,16.299999,82.909996,62.149998,94.0,9.0,2.976,0
21.594999,18.5,15.58,16.299999,83.309998,62.25,94.0,7.0,2.976,0
21.6,18.5,15.54,16.299999,83.589996,62.189999,94.0,7.0,2.964,0
21.615,18.5,15.54,16.299999,83.470001,62.25,94.0,7.0,2.976,0
21.539999,18.5,15.54,16.299999,83.5,62.389999,94.0,9.0,2.976,0
21.52,18.5,15.54,16.299999,83.339996,62.549999,94.0,7.0,2.94,0
21.535,18.5,15.339999,17.299999,82.82,62.59,94.0,8.0,5.208,0
21.59,18.5,15.38,17.299999,81.229996,62.619999,94.0,14.0,5.244,0
21.635,18.5,15.4,17.299999,81.07,62.509998,94.0,13.0,5.208,0
21.684999,18.5,15.46,18.299999,81.259995,62.359997,94.0,13.0,5.232,0
21.754999,18.5,15.54,19.299999,80.659996,62.48,94.0,12.0,5.244,0
21.799999,18.5,15.52,18.299999,80.989998,62.189999,94.0,14.0,5.238,0
21.814999,18.5,15.42,18.299999,81.159996,62.02,94.0,12.0,5.232,0
21.824999,18.5,15.4,18.299999,80.040001,61.579998,94.0,14.0,5.208,0
21.859999,18.5,15.559999,18.299999,77.839996,61.18,97.0,13.0,5.232,0
21.889999,18.5,15.46,19.299999,79.389999,60.91,100.0,13.0,5.232,0
21.904999,18.5,15.259999,19.299999,78.089996,60.699997,97.0,13.0,5.22,0
21.895,18.5,15.74,19.299999,79.369995,60.789997,94.0,13.0,5.184,0
21.865,18.5,15.46,19.299999,80.790001,61.209999,94.0,14.0,5.244,0
21.84,18.5,15.44,20.299999,81.159996,61.459999,94.0,12.0,5.196,0
21.799999,18.5,15.28,20.299999,81.439995,61.73,97.0,13.0,5.244,0
21.77,18.5,15.74,19.299999,81.0,62.149998,100.0,13.0,5.196,0
21.775,18.5,15.48,19.299999,81.739998,62.25,100.0,13.0,5.232,0
21.764999,18.5,15.58,18.299999,81.720001,62.57,100.0,13.0,5.196,0
21.789999,18.5,15.259999,18.299999,82.419998,62.66,100.0,14.0,5.208,0
21.1,18.5,16.940001,18.299999,80.669998,64.639999,100.0,2.0,0.0,0
20.639999,18.5,17.52,18.299999,79.259995,65.979996,100.0,0.0,0.0,0
20.41,18.5,17.9,18.299999,79.799995,66.619995,100.0,0.0,0.0,0
20.279999,18.5,18.18,17.299999,79.559998,67.189995,100.0,0.0,0.0,0
20.189999,18.5,18.199999,17.299999,79.879997,67.709999,100.0,0.0,0.0,0
20.115,18.5,18.299999,17.299999,80.269997,68.139999,100.0,0.0,0.0,0
20.045,18.5,18.42,17.299999,80.439995,68.559998,100.0,0.0,0.0,0
19.984999,18.5,18.539999,17.299999,80.409996,68.939995,100.0,0.0,0.0,0
19.885,18.5,18.539999,17.299999,80.619995,69.290001,100.0,0.0,0.0,0
19.875,18.5,18.440001,17.299999,81.229996,69.549995,100.0,0.0,0.0,0
19.824999,18.5,18.5,17.299999,81.529999,69.860001,100.0,0.0,0.0,0
19.785,18.5,18.5,17.299999,81.75,70.099998,97.0,0.0,0.0,0
19.734999,18.5,18.539999,16.299999,81.739998,70.169998,94.0,0.0,0.0,0
19.705,18.5,18.559999,16.299999,81.779999,70.290001,97.0,0.0,0.0,0
19.654999,18.5,18.6,16.299999,81.589996,70.419998,100.0,0.0,0.0,0
19.615,18.5,18.6,16.299999,81.739998,70.489998,97.0,0.0,0.0,0
19.594999,18.5,18.6,16.299999,82.129997,70.559998,94.0,0.0,0.0,0
19.574999,18.5,18.6,16.299999,82.339996,70.589996,94.0,0.0,0.0,0
19.564999,18.5,18.619999,16.299999,82.559998,70.729996,94.0,0.0,0.0,0
19.525,18.5,18.639999,16.299999,82.589996,70.830002,94.0,0.0,0.0,0
19.475,18.5,18.699999,16.299999,82.309998,70.849998,94.0,0.0,0.0,0
19.455,18.5,18.699999,16.299999,81.919998,70.779999,94.0,0.0,0.0,0
19.404999,18.5,18.74,16.299999,81.739998,70.809998,94.0,0.0,0.0,0
19.395,18.5,18.699999,16.299999,81.489998,70.720001,94.0,0.0,0.0,0
19.355,18.5,18.719999,15.3,81.419998,70.699997,94.0,0.0,0.0,0
19.314999,18.5,18.719999,15.3,81.239998,70.639999,94.0,0.0,0.0,0
19.285,18.5,18.699999,15.3,80.849998,70.529999,94.0,0.0,0.0,0
19.244999,18.5,18.699999,15.3,80.589996,70.339996,97.0,0.0,0.0,0
19.23,18.5,18.699999,15.3,79.879997,70.169998,100.0,0.0,0.0,0
19.23,18.5,18.68,15.3,79.07,69.849998,100.0,0.0,0.0,0
19.174999,18.5,18.66,14.3,79.32,69.389999,100.0,0.0,0.0,0
19.115,18.5,18.66,15.3,80.689995,68.949997,100.0,0.0,0.0,0
19.09,18.5,18.639999,15.3,82.709999,69.029999,100.0,0.0,0.0,0
19.064999,18.5,18.639999,15.3,83.989998,69.330002,100.0,0.0,0.0,0
18.994999,18.5,18.559999,15.3,84.68,69.360001,100.0,0.0,0.0,0
18.934999,18.5,18.539999,15.3,82.04499917,68.919998,100.0,0.0,0.0,0
18.865,18.5,18.5,15.3,79.40999833,68.489998,100.0,0.0,0.0,0
18.799999,18.5,18.459999,15.3,76.7749975,68.220001,100.0,0.0,0.0,0
18.744999,18.5,18.440001,15.3,74.13999667,68.029999,100.0,0.0,0.0,0
18.699999,18.5,18.379999,15.3,71.50499583,67.580002,97.0,0.0,0.0,0
21.455,18.5,19.98,15.3,68.869995,60.32,94.0,5.0,2.988,0
21.455,18.5,20.16,15.3,67.400002,60.059998,94.0,7.0,2.988,0
21.455,18.5,20.26,15.3,66.779999,59.84,94.0,7.0,2.988,0
21.455,18.5,20.34,15.3,66.330002,59.599998,94.0,7.0,2.94,0
21.455,18.5,18.16,15.3,70.779999,59.419998,94.0,9.0,2.964,0
21.355,18.5,16.74,15.3,73.739998,59.489998,90.5,7.0,2.952,0
21.234999,18.5,14.92,15.3,78.949997,59.59,87.0,7.0,2.928,0
21.105,18.5,15.179999,15.3,78.979996,59.73,81.5,7.0,2.964,0
